SMILES,Catalog ID
CC(=O)N1CCCC(C1)C(=O)NC=2C=CC=C3C2C=CN3CC(=O)O,Z3091879176
COC=1C=C(C=CC1S(C)(=O)=O)C(C)NC(=O)C2=CC=CO2,Z3091951044
O=C(C=1C=CC(=NC1)N2C=CC=N2)N3CCOC(CC3)C=4C=CC=CC4,Z3092530071
CC1=CC=CN2C(=CN=C12)CC(=O)N3CCC(=O)N4CCCCCC34,Z3093048406
O=C(NC1=CN(N=N1)C=2C=CC=CC2)C=3N=COC3C4CCCO4,Z3093476188
NC=1C=CN2N=CC(C(=O)NC3CC(=O)N(C3)C4CC4)=C2C1,Z3101681462
O=C(NCC=1C=CC(=CC1)C2CCCCC2)NCC=3C=NC=CN3,Z3104566102
O=C(NCCC1=CC=NN1C=2C=CC=CC2)NC3CC43CCOCC4,Z3104818313
"C[C@H](NC(=O)NC[C@@H]1C[C@H]1C=2C=CC=CC2)C=3C=NC=C(F)C3 |&1:7,9,r|",Z3104950542
CCN1N=CC(CNC(=O)C2CNCC32CCCCC3)=N1,Z3132918497
"C[C@@]12CN(C[C@H]2CS(=O)(=O)C1)C(=O)NCCC3CC=CC3 |&1:1,5,r|",Z3133687219
O=C(NCC1=C(N=C2C=CC(F)=CN12)C=3C=CC(F)=CC3)C45COC(CN5)C4,Z3136399765
"CCC=1N=C(C)C=C(N1)N2C[C@@H]3CN(CC(=O)NC4CCCC4)C[C@]3(C)C2 |&1:11,24,r|",Z3177922697
CN(C)CC1(O)CCN(C1)C(=O)C2CCCC=3NN=CC32,Z3203881153
O=C(C1=COC=2CCCC(O)C12)N3CCC4(CC4(F)F)CC3,Z3216005313
CCN1N=NC=2C(=NC=NC21)NC[C@]3(CO)COC[C@@H](C)N3,Z3216014701
CC(C)(C)C1=NC(=CO1)C2=NC=3C=CC=C(F)C3C(=O)N2,Z3253740257
CC=1N=C(SC1C(=O)NCCN2CCOCC2)C=3C=CC(C)=CC3Br,Z3254958979
CC=1N=CC=C(N1)C(=O)N2CC3(C2)CC(NC(=O)CC4C=CCC4)C5=NC=CN53,Z3259778144
COC(C)(C)C1=NOC(CC2=CNC=3N=CC=C(Cl)C23)=N1,Z3268495817
O=C(C1=CC=C2N=CC=NC2=C1)N3CCC(CC3)C4(N=N4)C(F)(F)F,Z3268511515
CC1(C)C(C(=O)N2CCCC2C=3NN=NC3C(=O)O)C1(C)C,Z3268556090
CCN1N=CC=C1C2=CN(CCN3CCC(F)(F)CC3)N=N2,Z3268557507
O=C1COC=2C=C(C=CC2N1)S(=O)(=O)N3CCN(CC=4C=CC=C(Cl)C4)C(=O)C3,Z3271810814
O=C1CCN(CC=2C=CC=NC2)C(=O)N1CC=3C=CC=CC3C(F)(F)F,Z3275721833
CCC=1C=CC=CC1S(=O)(=O)NCC(=O)NC(C)C=2C=CC=CN2,Z3290444329
COC(=O)C1=CC(=NN1C)NC(=O)N2CCN(CC2)C(=O)C3=CC=CC=C3OC(F)F,Z3291091938
CC1=NN2C=CC=NC2=C1S(=O)(=O)N(C)C=3C=CC=CC3N(C)C,Z3294599616
CCC=1OC(=CC1C)C(=O)N2CC3CCC2CN3C(=O)[C@H]4CCCC(=O)N4,Z3299525282
CCN(CC)CC(=O)N[C@H](C)C1CCN(CC1)C=2N=CC(C#N)=CC2Cl,Z3299531913
"CN(C)C(=O)C1(CC1)C(=O)N2[C@@H]3CC[C@H]2[C@H](C3)NC(=O)C4=CSC=N4 |&1:11,14,15,r|",Z3299567159
