Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Target ChEMBL ID,Target Name,Target Organism,Target Type
CHEMBL347586,,,N=C(N)c1ccc(CCC(CC(=O)O)c2cccc(C(=N)N)c2)cc1,Ki,'=',1400.0,nM,5.85,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL432306,,,N=C(N)c1cccc(OCCNC(=O)c2ccc(-c3ccccc3S(N)(=O)=O)cc2)c1,IC50,'=',7.5,nM,8.12,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL174138,,,Nc1ncnc2cc(CN3CCN(Cc4nc5cc(Cl)ccc5s4)CC3=O)ccc12,Ki,'=',1200.0,nM,5.92,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL317567,,,C[C@H](NC(=O)c1cc2cc(OCc3ccccc3)ccc2n1Cc1cccc(C(=N)S)c1)c1ccccc1.O=C(O)C(F)(F)F,Ki,'=',4830.0,nM,5.32,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL319878,,,C[N+]1(C)CCC(C(NC(=O)c2cc3ccccc3n2Cc2cccc(C(=N)N)c2)c2ccc3cc(Cl)ccc3c2)CC1,Ki,'=',1310.0,nM,5.88,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL541659,,,Cc1cccc2c1cc(C(=O)NCc1ccc([N+](C)(C)Cc3ccccc3)cc1)n2Cc1cccc(C(=N)N)c1.O=C([O-])C(F)(F)F,Ki,'=',23.0,nM,7.64,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL2372425,,,C[C@@H](NC(=O)[C@@H](CCCN=C(N)N)NC(=O)OC(C)(C)C)C(=O)N[C@H](C=O)CCCN=C(N)N,IC50,'=',230.0,nM,6.64,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL2372424,,,CC(C)(C)OC(=O)N[C@H](CCCN=C(N)N)C(=O)NC(C)(C)C(=O)N[C@H](C=O)CCCN=C(N)N,IC50,'=',550.0,nM,6.26,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL40764,,,N=C(N)NCCCC(C=O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NS(=O)(=O)Cc1ccccc1,IC50,'=',15.0,nM,7.82,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL19740,,,Cc1cnc(NCC(F)(F)c2ccc(F)cc2)c(=O)n1CC(=O)NCc1cnc(N)cn1,Ki,,,nM,,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL84065,,,CN1CCN=C1c1cccc(Oc2cc(C(=O)O)cc(Oc3cc(C(=N)N)ccc3O)n2)c1,Ki,'=',2.4,nM,8.62,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
CHEMBL541406,,,COc1cccc2c1cc(C(=O)NCc1ccc([N+](C)(C)C)cc1)n2Cc1cccc(C(=N)N)c1.O=C([O-])C(F)(F)F,Ki,'=',62.0,nM,7.21,CHEMBL244,Coagulation factor X,Homo sapiens,SINGLE PROTEIN
